1790,,,,
,-2.7,5.71,7.75,2023
,-2.67,5.7,7.81,2245
,-2.61,5.52,7.83,2466
,-2.43,5.38,8.06,2687
,-2.41,5.24,7.96,2908
,-2.48,5.29,7.95,3130
,-2.57,6,7.14,3351
,-3.12,6.55,6.35,3572
,-2.94,6.4,6.78,3794
,-3.03,6.79,5.86,4015
,-3.15,6.6,6.99,4236
,-3.16,6.73,6.65,4457
,-2.94,6.68,6.66,4679
,-2.59,6.74,7,4900
,-2.33,6.33,7.52,5121
,-2.16,6.06,7.6,5344
,-2,5.85,7.83,5566
,-2.01,5.42,8.04,5787
,-2.07,5.5,7.81,6008
,-2.09,5.55,7.8,6229
,-2.02,6.11,7.78,6451
,-2.39,6.09,6.91,6672
,-2.5,7.02,6.67,6897
,-2.49,7.22,6.72,7118
,-0.97,6.42,7.22,7339
,-2.26,7.09,6.47,7561
,-2.26,6.9,6.75,7782
,-2.3,6.92,6.73,8004
,-2.01,6.58,7.38,8225
,-1.96,6.34,7.46,8447
,-1.57,6.05,7.95,8668
,-1.98,5.83,8.14,8890
,-1.92,5.66,8,9111
,-1.88,5.47,8.26,9332
,-1.9,5.06,8.47,9554
,-1.98,5.61,8.13,9775
,-2.3,6.21,7.62,9997
,-2.41,6.39,7.29,10218
,-2.65,6.66,6.59,10440
,-2.81,7.05,6.61,10661
,-2.8,6.96,6.98,10883
,-2.98,6.75,6.48,11104
,-2.78,6.49,7.02,11325
,-2.64,5.76,7.7,11547
,-2.46,6.25,7.36,11772
,-2.45,6.05,7.74,11995
,-2.42,5.6,8.12,12216
,-2.46,5.43,7.96,12438
,-2.71,5.47,7.9,12659
,-2.65,6.16,7.53,12881
,-2.33,6.6,6.96,13102
,-2.62,6.75,6.49,13324
,-2.68,7.12,6.14,13545
,-2.93,7.15,6.34,13767
,-2.95,7.18,6.18,13991
,-2.86,7.05,6.56,14213
,-2.85,6.92,6.59,14434
,-2.78,6.77,6.66,14655
,-2.65,6.74,6.82,14877
,-2.62,6.48,6.9,15098
,-2.45,5.85,7.88,15320
,-2.48,5.83,7.73,15541
,-2.49,5.66,7.87,15763
,-2.48,5.89,7.42,15984
,-2.32,6.84,7.1,16206
,-2.67,7.25,6.77,16430
,-2.43,7.32,6.09,16652
,-2.57,7.33,6.02,16873
,-2.74,7.28,5.96,17095
,-2.8,7.37,6.15,17316
,-2.57,7.13,6.14,17538
,-2.7,7.09,6.43,17759
,-2.54,6.97,6.41,17980
,-2.42,6.79,6.98,18202
,-2.3,6.77,7.12,18423
,-2.41,6.52,7.23,18645
,-2.33,6.24,7.36,18868
,-2.28,6.47,7.37,19090
,-2.3,6.12,7.32,19311
,-2.35,6.66,7.13,19532
,-2.49,7.21,7.02,19754
,-2.49,6.65,6.71,19975
,-2.68,7.29,6.3,20197
,-2.62,7.29,6.15,20418
,-2.78,7.35,6.08,20640
,-2.62,7.21,6.52,20861
,-2.64,6.9,6.49,21086
,-2.54,6.68,6.97,21307
,-2.56,6.64,7.1,21529
,-2.46,6.37,7.19,21750
,-1.91,6.17,7.65,21971
,-2.35,6.11,7.2,22193
,-2.55,5.93,7.44,22414
,-2.67,6.16,7.58,22636
,-2.56,6.22,7.45,22857
,-2.99,6.11,7.14,23079
,-3.17,5.95,7.19,23300
,-3.84,6.25,7.43,23522
,-5.74,2.54,9.11,23743
,-4.29,0.34,8.02,23964
,-4.07,2,8.61,24186
,-3.58,-0.7,9.84,24407
,-5.3,-0.62,5.34,24629
,-1.38,-7.98,11.78,24850
,-4.72,-1.52,7.34,25072
,-4.07,-2.24,9.14,
